HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
27105300;150.3139807;28.58226581;36.85803079;96.68967683;0;6.39466461;0;0
27106200;141.1648166;47.45336279;37.29525154;96.43925504;0;6.429729652;0;0
27107100;140.4294862;42.87368195;38.91271468;96.54821976;0;6.443741641;0;0
27108000;150.100924;67.35624207;40.15754926;95.90398193;0;6.433997929;0;0
27108900;148.9492515;43.00705203;37.90270997;95.31531467;0;6.36591937;0;0
27109800;141.8567079;35.48290076;36.70798996;95.07241976;0;6.255069288;0;0
27110700;129.6123808;48.03775276;35.03090027;95.25614717;0;6.107369362;0;0
27111600;132.0314657;66.29966261;37.29469863;95.12118403;0;5.937186643;0;0
27112500;134.2982715;60.51371662;38.64662977;98.15211395;0;5.750410567;0;0
27113400;149.4221817;42.91142553;39.17166412;98.07216784;0;5.565713744;0;0
27114300;146.9384111;28.71418177;40.35186302;98.56591244;0;5.410638797;0;0
27115200;138.1505026;26.87592167;40.22548187;98.94653075;0;5.307337773;0;0
27116100;131.1534701;31.16964748;39.92909008;104.0781429;0;5.275581536;0;0
27117000;125.4977603;22.55401501;40.60779034;104.260685;0;5.297844342;0;0
27117900;130.8766294;26.81752323;40.76631106;104.8258764;0;5.346218157;0;0
27118800;132.2840492;27.20059432;41.47726119;106.1103626;0;5.369901047;0;0
27119700;129.3039506;23.36433682;38.18114891;110.5995524;0;5.35442483;0;0
27120600;127.9979954;21.7303672;36.53467009;111.236366;0;5.290611733;0;0
27121500;126.6686438;14.8723384;33.81141496;111.6740928;0;5.190371111;0;0
27122400;128.6772395;11.6252366;32.13319207;112.9527841;0;5.078580371;0;0
27123300;130.8034504;16.42498533;32.28540782;115.7432538;0;4.967663799;0;0
27124200;132.3421817;15.96735607;31.66410424;116.4589987;0;4.870496862;0;0
27125100;137.1282659;16.4774111;30.28874651;116.7133058;0;4.805886506;0;0
27126000;131.9219854;37.27911885;29.3982969;117.5984388;0;4.78543297;0;0
27126900;127.8272129;20.45918626;28.06886385;118.5897524;0;4.811087564;0;0
27127800;126.020749;12.32645725;24.98951052;119.2051289;0;4.863689361;0;0
27128700;127.8484103;9.481558946;23.29549656;119.3671297;0;4.924383369;0;0
27129600;128.5386687;11.10876563;21.69259781;119.8759067;0;4.955318892;0;0
27130500;127.3222717;17.32290679;20.13653574;120.1313745;0;4.93005941;0;0
27131400;126.7993826;8.508483481;18.78517935;120.4973124;0;4.855627964;0;0
27132300;127.5751847;5.679591808;17.33958698;120.6064092;0;4.77556771;0;0
27133200;128.9450578;4.027559059;16.06388218;120.7622822;0;4.703728078;0;0
27134100;131.9655035;1.748669197;15.44451199;120.9548559;0;4.670598569;0;0
27135000;133.3285994;3.207435574;15.27914016;121.1426421;0;4.677387577;0;0
27135900;135.892329;5.057612105;14.95335514;121.2798999;0;4.688753014;0;0
27136800;134.6710797;1.424528753;14.50716444;121.4235593;0;4.688708449;0;0
27137700;136.8905885;4.49630219;14.13350881;120.4533799;0;4.67014556;0;0
27138600;138.1440719;2.842922508;13.73001631;120.5905668;0;4.63465052;0;0
27139500;137.3171086;0.803108047;13.53389163;120.5862433;0;4.618194339;0;0
27140400;144.2710448;1.322082807;13.56564958;120.617954;0;4.639818148;0;0
27141300;145.8560288;0.254269536;13.5178512;118.0551812;0;4.731416248;0;0
27142200;145.1589654;0.363165764;13.39178338;118.1773033;0;4.868776648;0;0
27143100;149.0210967;0.142547312;13.85570244;118.0799741;0;5.02174232;0;0
27144000;145.1498179;3.880666802;13.94071448;117.7265361;0;5.148327171;0;0
27144900;146.6957071;0.35369672;13.78927511;115.9232983;0;5.229055384;0;0
27145800;151.8062807;0.980021016;14.12993964;115.8565843;0;5.259923676;0;0
27146700;146.0835008;0.765487408;14.70515949;115.8926908;0;5.260913515;0;0
27147600;150.0596652;2.353053194;14.82123319;115.390699;0;5.259814794;0;0
27148500;147.6665611;0.702809127;14.62245305;115.4077094;0;5.257901728;0;0
27149400;147.9777854;2.594864455;15.06673323;115.2072105;0;5.26956774;0;0
27150300;153.7543867;10.22953971;15.94881282;115.3788553;0;5.301335013;0;0
27151200;173.0618698;10.41123532;16.43546415;115.2972372;0;5.3405753;0;0
27152100;179.1583793;5.102317839;16.45674365;118.3714119;0;5.398983402;0;0
27153000;178.9505797;19.16508478;16.45426037;118.2304224;0;5.466222828;0;0
27153900;171.9738564;8.601216399;16.93608185;118.5229676;0;5.548432602;0;0
27154800;167.9424267;7.845049977;18.13089844;118.8305214;0;5.608293131;0;0
27155700;182.2613698;18.74018578;19.80962588;121.1136899;0;5.649676346;0;0
27156600;175.8629407;23.76274497;21.74982542;121.090354;0;5.666124602;0;0
27157500;184.3608844;31.09921093;22.94687959;121.0334915;0;5.66781857;0;0
27158400;172.9493882;32.07336274;23.38412832;121.7166257;0;5.667881702;0;0
27159300;171.4652184;37.08654806;25.46713011;121.8160818;0;5.654097255;0;0
27160200;178.2533845;30.75527203;28.10243763;121.8934691;0;5.654512291;0;0
27161100;170.4626984;35.12874052;29.28709687;121.4772829;0;5.661360208;0;0
27162000;181.5213693;39.92823614;29.77682154;121.2381254;0;5.704251107;0;0
27162900;175.9718009;100.2716543;30.89118963;120.7069493;0;5.767498881;0;0
27163800;171.0985304;93.47272678;33.75943509;120.3113575;0;5.847557926;0;0
27164700;168.1854671;69.06820835;34.91520625;119.7343903;0;5.920327944;0;0
27165600;156.7583274;76.91096041;37.35365168;119.0260631;0;5.971794751;0;0
27166500;158.9228342;62.00469969;37.72523215;118.5407835;0;5.976063521;0;0
27167400;168.008578;75.42931436;37.46097502;117.8833578;0;5.927995588;0;0
27168300;167.6638506;65.47130979;40.06346534;117.2340195;0;5.862857265;0;0
27169200;170.575108;50.92344851;42.20652461;116.5779528;0;5.777439371;0;0
27170100;157.3843579;71.84740763;40.00523945;116.0335075;0;5.690182085;0;0
27171000;157.8700336;79.42430982;40.00192979;115.3834422;0;5.609163743;0;0
27171900;166.8457075;54.64746498;39.65805938;114.6422144;0;5.536607539;0;0
27172800;161.5256477;63.4416214;37.30712717;114.0896271;0;5.505534543;0;0
27173700;161.898317;65.55201003;34.66201473;113.5004826;0;5.504349432;0;0
27174600;151.0453546;82.56353541;32.51932596;113.0128181;0;5.532199839;0;0
27175500;148.8164084;129.594204;31.56253203;112.5633116;0;5.587577438;0;0
27176400;149.8418269;85.61053356;30.55004902;112.1844874;0;5.662802637;0;0
27177300;146.4360506;60.57359894;30.46636772;111.0598794;0;5.734325671;0;0
27178200;141.7182025;42.37760784;31.43238361;110.8980023;0;5.799613787;0;0
27179100;138.8810816;45.88834459;32.13264268;110.6251821;0;5.872120044;0;0
27180000;138.3444255;51.64845671;32.00841651;110.4262599;0;5.925017922;0;0
27180900;138.0322084;36.54686945;32.0890348;107.4827932;0;5.972784813;0;0
27181800;135.7776038;21.42093304;30.01718308;107.6426227;0;5.997904057;0;0
27182700;134.7474652;24.25977971;28.30899431;107.5433688;0;6.024153305;0;0
